VIDEO TITLE,year,X PERCH1,X PERCH2,X PERCH3,X PERCH4,X PERCH5,X PERCH6,X PERCH7,X PERCH8,perch1P,perch2P,perch3P,perch4P,perch5P, perch6P, perch7P, perch8P, perch1M, perch2M, perch3M, perch4M, perch5M, perch6M, perch7M, perch8M
CAGE_230621_HA70363_mirror_IB,2021,NA,NA,NA,732,626,449,391,173,#ARVO!,#ARVO!,#ARVO!,782,676,499,441,223,#ARVO!,#ARVO!,#ARVO!,682,576,399,341,123
CAGE_240621_HA70364_mirror_IB,2021,NA,NA,NA,723,626,450,393,183,#ARVO!,#ARVO!,#ARVO!,773,676,500,443,233,#ARVO!,#ARVO!,#ARVO!,673,576,400,343,133
CAGE_240621_HA70365_mirror_IB,2021,NA,NA,NA,726,623,449,390,180,#ARVO!,#ARVO!,#ARVO!,776,673,499,440,230,#ARVO!,#ARVO!,#ARVO!,676,573,399,340,130
CAGE_240621_HA70366_mirror_IB,2021,NA,NA,NA,1099,956,699,655,388,#ARVO!,#ARVO!,#ARVO!,1149,1006,749,705,438,#ARVO!,#ARVO!,#ARVO!,1049,906,649,605,338
CAGE_240621_HA70369_mirror_IB,2021,NA,NA,NA,1123,978,707,654,392,#ARVO!,#ARVO!,#ARVO!,1173,1028,757,704,442,#ARVO!,#ARVO!,#ARVO!,1073,928,657,604,342
CAGE_240621_HB33264_mirror_IB,2021,NA,NA,NA,740,634,461,401,184,#ARVO!,#ARVO!,#ARVO!,790,684,511,451,234,#ARVO!,#ARVO!,#ARVO!,690,584,411,351,134
CAGE_250520_HA70341_mirror_IB,2020,NA,NA,NA,699,589,373,328,77,#ARVO!,#ARVO!,#ARVO!,749,639,423,378,127,#ARVO!,#ARVO!,#ARVO!,649,539,323,278,27
CAGE_250520_HA70342_mirror_IB,2020,NA,NA,NA,721,605,401,333,91,#ARVO!,#ARVO!,#ARVO!,771,655,451,383,141,#ARVO!,#ARVO!,#ARVO!,671,555,351,283,41
CAGE_280621_HA70370_mirror_IB,2021,NA,NA,NA,755,657,480,428,224,#ARVO!,#ARVO!,#ARVO!,805,707,530,478,274,#ARVO!,#ARVO!,#ARVO!,705,607,430,378,174
CAGE_280621_HA70371_mirror_IB,2021,NA,NA,NA,753,654,476,424,249,#ARVO!,#ARVO!,#ARVO!,803,704,526,474,299,#ARVO!,#ARVO!,#ARVO!,703,604,426,374,199
