Ringnr|NestID|Location|Total_time|perch1|perch2|perch3|perch4|perch5|5perches|Bottom|Middle|Top|T_new|T_home|ground|latency|Explored|move_home|movement|Mov_sum
HA70248|19KR16||600.559|231.86|10.101|71.476|6.009|232.197|206.04|0|29.739|570.403|551.661|48.898|0|0.575|y|12|25|37
HA70249||Smedjeviken|600.401|0|417.88|0|31.796|54.352|NA|0|31.714|546.899|503.077|97.324|0|4.891|y|8|15|23
HA70249|19KR17||601.443|0|0|0|0|0|NA|0|0|601.442|0|601.442|0|601.443|n|0|0|0
HA70250||Smedjeviken|600.298|190.633|97.912|74.107|58.836|10.931|9.396|0.772|249.577|349.908|453.525|146.773|0|0.772|y|42|140|182
HA70250|||600.43|19.668|196.068|86.127|24.143|213.696|425.392|5.895|122.994|471.527|539.72|60.71|0|1.236|y|8|22|30
HA70250|21JJ11||600.694|10.095|573.941|0|4.248|0.431|NA|0|238.56|356.208|594.418|6.276|0|2.768|y|8|18|26
HA70251||Smedjeviken|600.28|164.698|0|118.169|19.435|2.331|NA|1.853|48.486|549.936|304.646|295.634|0|295.632|y|24|14|38
HA70252||Smedjeviken|600.416|67.81|144.488|21.597|44.016|24.992|32.026|7.elo|10.817|582.507|289.504|310.912|0|2.519|y|128|119|247
HA70253||Uto-Salo|600.443|0|0|267.48|0|28.263|NA|0.919|39.482|560.025|295.744|304.699|0|304.697|y|36|2|38
HA70254||Uto-Salo|600.835|32.057|253.311|0|314.383|0|NA|234.821|364.64|1.371|599.757|1.078|0|1.076|y|1|6|7
HA70255||Uto-Salo|600.175|0|0|0|0|0|NA|412.91|156.735|30.454|0|600.175|0|600.175|n|81|0|81
HA70256|HEL18R1R||601.242|62.464|32.068|269.581|131.203|0|NA|90.689|354.438|156.05|591.513|9.729|6.889|9.727|y|4|111|115
HA70257|HEL18R1R||600.837|51.471|32.611|251.451|44.92|33.304|31.771|171.411|343|85.979|527.681|73.156|22.491|tammi.61|y|27|233|260
HA70258||PikkuHuopalahti|600.628|183.367|tammi.32|56.548|0|2.258|NA|8.547|101.515|490.541|243.498|357.13|0|283.014|y|26|5|31
HA70260||Pohja|600.43|0|0|0|0|0|NA|38.461|286.792|226.793|0|600.43|0|600.43|n|42|0|42
HA70266||Pohja|601.313|4.895|1.653|591.313|0.893|0|NA|0|585.699|15.61|600.175|1.138|0|1.136|y|1|9|10
HA70267|KIR18K2||600.895|140.135|54.574|16.586|16.479|0|NA|0|22.512|578.379|227.809|373.086|0|337.476|y|81|39|120
HA70267|19KR7||600.413|0|45.625|103.658|96.175|42.385|NA|4.213|276.578|316.491|287.869|312.544|0|158.727|y|32|37|69
HA70268|KIR18K2||662.63|0|117.035|5.224|1.935|0|NA|3.733|64.038|64.065|124.198|538.432|0|538.43|y|4|4|8
HA70274|KAA18K3||599.845|loka.21|63.042|121.055|24.976|6.965|96.999|0|21.555|578.283|222.085|377.76|0|270.914|y|27|24|51
HA70275|KAA18K3||600.213|0|0|0|0|0|NA|0|69.135|531.066|0|600.213|0|600.213|n|60|0|60
HA70276|KAA18K2||333.338|12.809|27.291|122.154|69.166|7.456|16.494|24.396|126.482|157.315|331.559|1.779|touko.86|1.779|y|11|72|83
HA70277|KAA18K2||600.742|131.189|168.114|38.868|110.404|4.311|456.259|38.492|456.537|98.998|470.395|130.347|7.116|1.371|y|27|118|145
HA70279||IsoHuopalahti|600.281|71.278|12.102|112.367|3.869|touko.28|134.328|0.526|75.19|524.56|204.905|395.376|0|228.749|y|7|8|15
HA70281|ESP18K11||600.37|0|0|0|0|0|NA|5.373|21.577|573.415|0|600.37|0|600.37|n|3|0|3
HA70281|19EK19||600.42|231.627|0.716|0|0.743|10.793|NA|0|0|600.42|243.882|356.538|0|323.664|y|4|5|9
HA70282|ESP18K5||600.467|0|0|0|0|0|NA|3.302|480.763|116.4|0|600.467|0|600.467|n|12|0|12
HA70283|KIR18J6R||663.586|0|0|0|0|0|NA|124.906|107.543|256.439|0|663.586|0|663.586|n|87|0|87
HA70284|KIR18J6R||600.081|159.517|194.973|41.569|40.804|4.205|151.404|0|0|600.081|441.158|158.923|0|4.185|y|7|93|100
HA70288|||600.235|0|0|0|0|0|NA|72.47|378.663|149.03|0|600.235|5.243|600.235|n|134|0|134
HA70303||Vikkula|600.216|42.563|74.657|2.792|80.715|0.808|76.601|20.614|125.67|451.444|213.319|386.897|10.081|24.syys|y|144|169|313
HA70303||Vikkula|600.041|60.38|97.461|81.653|38.285|13.645|32.819|22.471|159.562|417.969|291.983|308.058|14.168|148.949|y|99|103|202
HA70304|POR18002||600.753|0|0|0|0|0|NA|201.075|328.673|53.483|0|600.753|0|600.753|n|174|0|174
HA70305|POR18002||426.866|0|0|0|0|0|NA|0|419.191|7.673|0|426.866|0|426.866|n|2|0|2
HA70306|POR18003||600.529|0|0|0|0|0|NA|463.958|121.698|14.845|0|600.529|0|600.529|n|79|0|79
HA70307|POR18003||600.368|45.696|208.976|0|97.834|0.505|NA|26.155|209.83|363.92|356.353|244.015|2.629|1.666|y|24|100|124
HA70308|KIR18E1||600.944|18.401|92.001|0|1.659|0|NA|4.533|291.122|305.284|112.067|488.877|0|2.653|y|6|7|13
HA70308|19KR9||609.973|0|0|7.193|5.468|87.029|NA|0|0|609.972|99.692|510.281|0|491.989|y|4|3|7
HA70310|HEL18K4||600.803|0|0|0|0|0|NA|0|17.589|583.209|0|600.803|0|600.803|n|37|0|37
HA70311|HEL18K4||600.87|0|0|0|0|0|NA|0|0|600.87|0|600.87|0|600.87|n|0|0|0
HA70311|19AT11||601.958|0|0|0|0|0|NA|0|601.957|0|0|601.957|0|601.958|n|0|0|0
HA70312|ESP18J4R||600.057|0|0|0|0|0|NA|0|16.525|583.53|0|600.057|0|600.057|n|2|0|2
HA70314|19AT6||600.344|0|0|0|0|0|NA|0|15.462|584.874|0|600.344|0|600.344|n|16|0|16
HA70315|19AT5||600.77|115.424|35.488|133.51|14.515|77.76|186.47|0|2.566|598.202|378.043|222.727|0|97.304|y|37|88|125
HA70317|19AV1||600.461|133.16|32.835|142.139|30.512|41.394|114.392|24.857|126.791|448.707|379.129|221.332|0|35.802|y|59|147|206
HA70318|19AV1||600.64|0|0|0|0|0|NA|0|0|600.64|0|600.64|0|600.64|n|5|0|5
HA70319|19EK25||600.425|0|0|0|0|0|NA|0|0|600.425|0|600.424|0|600.425|n|0|0|0
HA70319|19EK25||600.425|0|0|0|0|0|NA|0|0|600.654|0|600.653|0|600.425|n|0|0|0
HA70320|19EK25||600.272|72.414|elo.44|165.848|11.234|55.061|174.352|0|2.832|597.438|312.486|287.786|0|186.503|y|25|29|54
HA70321|19EK24||600.418|101.496|5.106|258.156|0|17.209|NA|0|47.313|553.079|581.673|18.745|0|18.743|y|6|131|137
HA70322|19EK24||NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
HA70323|19JJ4||590.891|0|0|0|0|0|NA|10.111|256.36|323.617|0|590.891|0|590.891|n|89|0|89
HA70324||Soukanlahti|600.459|194.036|1.886|129.091|0|4.405|NA|152.166|180.813|264.968|538.828|61.631|84.903|5.436|y|34|258|292
HA70325|19JJ4||600.34|0|0|0|0|0|NA|0|0|600.341|0|600.34|0|600.34|n|16|0|16
HA70326|19AT7||600.126|0|0|0|0|0|NA|0|0|600.126|0|600.126|0|600.126|n|0|0|0
HA70328||Hyljelahti|600.431|0|0|0|0|0|NA|600.431|0|0|0|600.431|600.43|600.431|n|0|0|0
HA70329||Hyljelahti|600.457|0|0|0|0|0|NA|0|26.597|573.85|0|600.457|0|600.457|n|258|0|258
HA70330|19JJ2||600.627|88.561|144.054|209.932|91.539|8.788|6.635|0|0|600.627|542.426|58.201|0|8.371|y|20|55|75
HA70331|19JJ2||600.498|33.971|199.209|57.071|45.723|52.012|179.143|0|46.66|553.831|388.382|212.116|0|67.637|y|46|61|107
HA70332|19EK26||600.637|173.17|1.297|422.19|0|1.177|NA|0|helmi.32|598.315|598.909|1.728|0|1.726|y|1|7|8
HA70333||Hyljelahti|601.198|0|0|74.574|44.101|274.457|NA|0|2.168|599.029|393.142|208.056|0|189.715|y|6|13|19
HA70334||Soukanlahti|600.287|0|0|0|0|0|NA|0|0|600.287|0|600.287|0|600.287|n|1|0|1
HA70335|||NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
HA70336|||NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
HA70337|||NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
HA70339|20AT20||600.203|181.697|0|287.18|4.604|35.365|NA|114.327|386.424|94.805|591.781|8.422|1.993|elo.42|y|1|255|256
HA70339|20AT20||600.452|84.43|22.879|129.977|54.666|52.76|3.936|44.959|462.302|89.557|388.363|212.089|0|0.512|y|65|324|389
HA70340|||||||||||||||||NA|||
HA70341|20AT2||600|0|0|0|0|0|NA|0|0|600|0|600|0|600|n|359|0|359
HA70342|20AT2||600|0|0|0|0|0|NA|0|0|600|0|600|0|600|n|0|0|0
HA70343|||600|0|0|33.981|76.43|34.998|NA|0|414.835|185.162|146.916|453.084|0|415.584|y|6|9|15
HA70344|||600|0|0|0|0|0|NA|0|0|600|0|600|0|600|n|0|0|0
HA70345|||600|2.999|133.979|0|237.944|40.566|NA|88.462|427.528|83.996|415.505|184.495|0|114.079|y|13|23|36
HA70346|20AT31||600.666|0|0|0|0|0|NA|0|NA|600.665|0|600.666|0|600.666|n|1|0|1
HA70347|20KR49||NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
HA70348|20AT27||600.363|8.043|1.196|90.306|0.989|12.788|119.903|0|4.513|595.845|136.404|463.959|0|198.395|y|63|38|101
HA70348|21NB14||NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
HA70348|21NB14||600.827|0|0|0|0|0|NA|helmi.68|30.elo|567.321|0|600.827|0|600.827|n|190|0|190
HA70349|20AT27||601.547|0|0|35.43|69.032|65.257|NA|0|254.42|346.579|169.73|431.817|0|431.815|y|5|12|17
HA70349|21NB14||NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
HA70350|20KR40||601.173|0|76.229|30.543|152.902|41.061|NA|214.517|208.917|177.714|300.747|300.426|3.931|259.962|y|56|15|71
HA70352|||600.664|0|0|0|0|0|NA|0|0|600.663|0|600.664|0|600.664|n|0|0|0
HA70352|21KR29||600.882|160.017|49.293|100.045|13.426|35.166|37.082|0|19.975|580.89|430.146|170.736|0|61.17|y|44|162|206
HA70353|20KR40||600.359|487.044|2.297|50.161|0|helmi.83|NA|4.008|17.24|578.857|549.95|50.409|4.249|50.407|y|3|27|30
HA70354|20AT26||601.16|0|0|0|0|0|NA|6.094|132.537|462.491|0|601.16|0|601.16|n|52|0|52
HA70354|||562.902|0|0|0|0|0|NA|0|0|562.901|0|562.902|0|562.902|n|0|0|0
HA70355|20AT26||600.968|73.575|170.493|0|85.58|5.452|NA|0|243.015|357.935|335.113|265.855|0|163.918|y|9|18|27
